14,14,13,12,11,9,9,8,7,7,8,8,9,10,10,10,11,11,11,12,11,11,11,11,11,11,10,10,10,10,11,11,10,10,10,11,10,10,10,11,12,12,12,12,13,13,14,13,14,15,16,16,0
17,17,15,14,12,12,10,10,8,9,9,8,10,10,12,11,12,12,11,13,13,12,11,13,13,12,12,11,10,12,11,12,11,13,14,9,11,12,12,12,11,12,12,13,14,13,15,15,15,16,17,17,0
22,20,14,17,12,13,12,9,10,8,9,10,11,11,12,13,13,12,13,15,14,14,14,14,14,13,12,14,13,12,13,14,14,13,12,12,13,13,14,13,13,14,14,14,16,15,16,18,18,18,19,19,0
18,16,15,14,12,11,10,7,8,7,8,8,8,10,9,11,11,11,11,13,11,12,13,12,11,13,12,11,12,12,11,13,11,11,11,11,11,12,11,12,12,13,14,14,14,15,16,15,17,17,18,20,0
18,18,14,14,13,10,10,9,7,7,8,8,9,9,10,10,12,12,12,13,13,13,13,13,13,12,12,13,12,12,12,12,12,13,11,11,12,11,12,12,13,13,13,14,15,15,16,15,16,17,18,19,0
16,16,15,13,12,11,10,8,7,6,6,6,7,8,9,8,11,11,11,11,11,11,11,11,11,11,11,11,10,10,12,13,12,12,12,9,11,10,11,11,11,11,13,12,12,12,13,14,14,16,17,18,0
13,12,11,10,9,7,7,5,5,5,5,6,6,7,7,7,7,8,8,8,8,8,8,9,8,9,8,8,8,8,9,8,8,8,9,9,8,8,8,8,8,9,9,10,10,10,11,11,11,12,13,13,0
14,14,13,13,11,9,9,7,6,6,6,6,7,8,9,9,10,9,10,9,9,10,9,10,9,9,10,9,10,9,10,10,10,9,9,9,10,10,9,11,10,11,12,13,13,12,14,13,16,13,17,17,0
15,14,12,11,10,8,7,7,3,3,4,5,5,5,7,7,7,8,8,9,9,9,8,8,8,8,8,9,8,8,9,9,8,9,8,8,8,8,8,10,9,10,10,10,11,11,12,12,13,13,15,16,0
16,15,16,13,12,11,9,7,6,6,5,6,6,8,9,10,9,9,9,9,10,9,9,10,10,10,10,11,10,10,10,9,11,11,10,11,11,10,11,10,11,11,12,13,13,13,15,14,15,16,16,17,0
14,13,12,11,9,9,6,6,5,5,4,5,6,6,7,8,8,8,9,9,9,9,9,10,9,10,9,10,10,9,11,10,11,11,10,10,11,12,11,11,12,13,15,13,14,14,16,14,17,17,17,18,0
12,12,12,11,11,7,5,5,4,5,5,5,6,7,7,8,7,8,8,8,8,9,8,9,8,9,9,10,10,10,10,10,10,10,11,10,11,11,11,11,12,12,13,13,14,14,15,16,17,17,18,18,0
15,14,13,11,11,9,8,6,5,4,4,5,6,7,7,8,8,9,9,9,9,8,8,9,10,9,10,11,9,10,11,10,11,10,11,11,12,10,12,12,13,13,13,13,15,15,17,17,17,17,18,19,0
17,16,14,15,11,9,9,7,4,6,5,7,4,9,7,10,9,9,10,10,12,10,9,11,9,9,9,12,10,12,12,13,11,13,13,14,14,13,13,14,14,15,15,17,17,17,19,17,20,22,22,24,0
9,9,8,7,6,5,4,4,2,3,3,4,4,5,5,6,6,6,7,7,7,7,6,7,7,6,6,7,7,7,8,7,7,7,8,8,8,8,8,8,9,10,10,10,11,11,12,12,13,13,14,15,0
11,10,10,9,8,7,6,5,4,4,4,4,3,4,4,6,5,7,7,6,8,7,7,6,7,6,7,8,7,8,10,8,8,9,10,6,9,8,9,9,9,10,11,11,11,12,12,14,14,14,15,15,0
